"index_code","index_desc","wind_code","date","open","high","low","close","volume","amt","chg","pct_chg","update_time"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230501",,,,"961.02",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230508",,,,"865.9",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230515",,,,"858.05",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230522",,,,"821.79",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230529",,,,"784.22",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230605",,,,"727.89",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230612",,,,"912.85",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230619",,,,"808.08",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230626",,,,"718.52",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230703",,,,"690.96",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230710",,,,"762.8",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230717",,,,"851.29",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230724",,,,"979.33",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230731",,,,"1090.36",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230807",,,,"1103.64",,,,,"20/3/2025 09:53:34.620718+08"
